% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, further/more values", seed=1013501, Wed Oct  8 16:34:12 2025, <python>{}</python>
1 7 15.263203684272462 1.0000333338888951 6.5098943518861265 6.5098943518861265e+00 1340000032.1855783 1340000042.4978623 502499999.1685586 837500038.421484 nan   
2 14 12.292839302821477 1.1356594275576866 5.773173957246673 5.7731739572466729e+00 670000045.0228975 1340000038.592444 669999989.917724 670000032.9084028 nan   
3 21 11.3577891844839 1.2684428339882146 5.773173957246673 6.7000002978205562e+08 670000035.9514154 1340000029.0322251 669999995.0919048 670000032.1312603 nan   
4 28 13.534934438240885 1.4932408747425987 5.773173957246673 6.7000002792895055e+08 670000034.1300452 1340000033.1988473 6.323090553283691 670000030.5323586 nan   
5 35 14.469861449360927 1.8863769371775843 5.773173957246673 6.7000002480001378e+08 670000033.0502961 1340000033.051429 502499989.0671284 670000030.7296591 nan   
6 42 16.057401222079093 2.134468908763702 5.773173957246673 6.7000002478041530e+08 670000031.9872603 1340000027.2021575 502500000.36112106 670000027.5639228 nan   
7 49 14.991038311407989 2.953479129395892 5.773173957246673 6.7000002582173574e+08 670000029.4494276 1340000035.4236708 669999998.2415038 670000026.4877928 nan   
8 56 13.586623168241298 3.1139814316577294 5.773173957246673 6.7000002114080238e+08 1340000019.6785264 2010000020.7125366 670000010.6861055 670000027.0892062 nan   
9 63 11.872426448729476 3.3848731398547356 5.773173957246673 6.7000002318017411e+08 670000028.6068561 1340000020.6161292 669999990.0503981 670000027.6462839 nan   
10 70 9.845684658750551 3.756719298772214 5.773173957246673 6.7000002443844485e+08 670000028.7593834 1340000023.6521285 6.293623924255371 670000025.3413424 nan   
11 77 10.183967565976372 3.645506261002451 5.773173957246673 6.7000001925236583e+08 670000025.3444741 1340000025.510312 502499998.031587 670000024.6511365 nan   
12 84 7.4075599467031426 3.9756853635489047 5.773173957246673 6.7000002261445189e+08 1340000014.9750648 2010000018.6224117 669999998.4743897 670000024.999492 nan   
13 91 6.115557455778756 4.174140628503629 5.773173957246673 6.7000002255575895e+08 670000024.9112632 1340000020.8275957 502499998.0927949 670000023.3464477 nan   
14 98 5.978845048785918 3.7444915789344075 5.773173957246673 6.7000002151106143e+08 670000022.5366328 670000025.0815842 0.6417317390441895 670000022.3903509 nan   
15 105 9.13989634275328 4.354112971262742 5.773173957246673 6.7000001967670918e+08 670000021.5955616 1340000021.7452736 1.7475059032440186 670000020.970156 nan   
16 112 12.85272748033823 4.599503644011806 5.773173957246673 6.7000001861043215e+08 670000019.9357572 1340000017.9359093 2.9047685861587524 670000018.8471766 nan   
17 119 14.014536283174289 5.176078127606461 5.773173957246673 6.7000001541497040e+08 1340000014.4993253 1340000018.884331 669999995.5676308 670000021.4387853 nan   
18 126 20.65698615720719 5.987758599380311 5.773173957246673 6.7000001027233195e+08 670000023.5630974 1340000015.1875353 502500002.7138474 670000014.6421244 nan   
19 133 27.086319414498917 6.842205984961446 5.773173957246673 6.7000001144889021e+08 1340000003.6774945 2010000001.4906373 669999998.0770729 670000013.8795488 nan   
20 140 37.319357127144684 6.156983231631883 5.773173957246673 6.7000000646803951e+08 670000014.2791228 1340000017.777233 5.882516980171204 670000009.615184 nan   
21 147 38.986603321667864 6.469925560631788 5.773173957246673 6.7000000019799578e+08 670000014.833251 1340000019.0932477 502500009.6704149 670000005.7919474 nan   
22 154 34.438175793980555 6.391331390082197 5.773173957246673 6.7000000172093248e+08 670000009.5725591 1340000005.065546 18.380101799964905 670000003.6958643 nan   
23 161 26.086986239236236 6.215128628428437 5.773173957246673 6.7000000365212703e+08 670000010.8529587 1340000004.1475863 669999990.7163205 670000007.0025935 nan   
24 168 23.16016303481882 7.501521997004776 5.773173957246673 6.7000000049334919e+08 670000012.7130327 1340000003.0508614 502500002.011811 670000002.211287 nan   
25 175 22.637791747428466 7.386386989449489 5.773173957246673 6.6999999735857463e+08 670000000.3286059 1339999998.8786118 502499995.2801442 669999998.7067022 nan   
26 182 25.109906211337602 9.001244857655404 5.773173957246673 6.6999999327369595e+08 670000002.7698985 1340000001.4310663 502499998.0607476 669999997.650162 nan   
27 189 24.655541671764333 10.183601662441447 5.773173957246673 6.6999999326488841e+08 669999998.1632173 1339999994.6436343 502499997.2915232 669999996.7947056 nan   
28 196 28.262295119080253 12.360974192918642 5.773173957246673 6.6999998896653438e+08 669999998.2964528 1339999997.2196524 10.660399556159973 669999991.5918124 nan   
29 203 32.074592010317794 14.739882828033071 5.773173957246673 6.6999998493237114e+08 669999990.6820679 1339999992.3327587 6.652782201766968 669999987.6166337 nan   
30 210 35.073285490450694 18.210450671082377 5.773173957246673 6.6999998097782302e+08 669999989.890234 1339999981.3144157 502499998.05444074 669999984.8554924 nan   
31 217 39.03308068948268 20.134715841286248 5.773173957246673 6.6999997242535615e+08 669999990.5145934 669999996.348238 16.16705083847046 669999975.5594647 nan   
32 224 38.76335964351744 21.984742814169522 5.773173957246673 6.6999996466460848e+08 669999990.7465987 1339999957.1836991 12.641920924186707 669999979.6204381 nan   
33 231 29.965973416526936 21.68792628587143 5.773173957246673 6.6999997179259539e+08 669999986.0706904 1339999974.294846 669999983.2160909 669999979.2745993 nan   
34 238 37.71683216380811 24.11720862922784 5.773173957246673 6.6999996245604753e+08 669999976.7775972 1339999969.0791988 14.875391721725464 669999967.0929506 nan   
35 245 34.47133499991813 29.813745696116012 5.773173957246673 6.6999996421634066e+08 669999978.2987163 1339999972.9944487 502499987.4671571 669999969.5828235 nan   
